mode: count
ddsheetfinal/main.go:10.13,11.22 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:197.18,199.4 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:203.2,203.44 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:203.44,205.18 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:205.18,207.4 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:210.2,210.30 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:213.92,217.23 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:217.23,219.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:220.2,220.24 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:220.24,222.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:223.2,223.22 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:223.22,225.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:226.2,226.23 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:226.23,228.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:231.2,231.38 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:231.38,233.17 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:233.17,235.4 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:238.2,238.30 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:242.57,244.24 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:244.24,246.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:247.2,248.14 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:251.69,257.2 5 0
ddsheetfinal/internal/application/usecases/enrich_character.go:259.99,264.2 4 0
ddsheetfinal/internal/application/usecases/enrich_character.go:266.130,269.13 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:269.13,271.61 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:271.61,273.4 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:274.3,274.22 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:277.2,278.50 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:278.50,280.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:281.2,282.60 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:282.60,284.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:285.2,285.21 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:289.120,290.20 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:290.20,292.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:295.2,308.27 7 0
ddsheetfinal/internal/application/usecases/enrich_character.go:308.27,310.23 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:310.23,318.17 4 0
ddsheetfinal/internal/application/usecases/enrich_character.go:318.17,318.32 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:321.4,327.25 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:327.25,331.5 3 0
ddsheetfinal/internal/application/usecases/enrich_character.go:331.10,331.36 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:331.36,335.5 3 0
ddsheetfinal/internal/application/usecases/enrich_character.go:337.4,337.25 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:342.2,342.12 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:342.12,345.3 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:348.2,349.34 2 0
ddsheetfinal/internal/application/usecases/enrich_character.go:349.34,351.3 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:353.2,353.16 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:357.54,358.45 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:358.45,359.53 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:359.53,361.4 1 0
ddsheetfinal/internal/application/usecases/enrich_character.go:363.2,363.10 1 0
ddsheetfinal/internal/application/usecases/enrich_data.go:16.96,20.2 1 0
ddsheetfinal/internal/application/usecases/enrich_data.go:23.115,25.16 2 0
ddsheetfinal/internal/application/usecases/enrich_data.go:25.16,27.3 1 0
ddsheetfinal/internal/application/usecases/enrich_data.go:29.2,34.8 1 0
ddsheetfinal/internal/application/usecases/enrich_data.go:38.123,40.16 2 0
ddsheetfinal/internal/application/usecases/enrich_data.go:40.16,42.3 1 0
ddsheetfinal/internal/application/usecases/enrich_data.go:44.2,57.8 1 0
ddsheetfinal/internal/application/usecases/enrich_data.go:61.64,63.2 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:34.21,39.2 1 2
ddsheetfinal/internal/application/usecases/equip_item.go:42.65,45.16 2 2
ddsheetfinal/internal/application/usecases/equip_item.go:45.16,47.3 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:49.2,52.24 2 1
ddsheetfinal/internal/application/usecases/equip_item.go:52.24,53.49 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:53.49,55.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:57.3,58.17 2 1
ddsheetfinal/internal/application/usecases/equip_item.go:58.17,60.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:62.3,62.27 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:62.27,63.30 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:63.30,65.5 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:66.4,66.35 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:67.9,67.33 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:67.33,68.31 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:68.31,70.5 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:71.4,71.36 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:72.9,74.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:75.3,75.17 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:79.2,79.23 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:79.23,80.48 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:80.48,82.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:83.3,83.28 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:83.28,85.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:86.3,87.17 2 0
ddsheetfinal/internal/application/usecases/equip_item.go:91.2,91.24 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:91.24,92.49 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:92.49,94.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:95.3,95.29 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:95.29,97.4 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:98.3,99.17 2 0
ddsheetfinal/internal/application/usecases/equip_item.go:102.2,102.14 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:102.14,104.3 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:107.2,107.41 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:110.63,112.11 2 1
ddsheetfinal/internal/application/usecases/equip_item.go:113.52,114.22 1 1
ddsheetfinal/internal/application/usecases/equip_item.go:115.48,116.21 1 0
ddsheetfinal/internal/application/usecases/equip_item.go:117.10,118.11 1 0
ddsheetfinal/internal/application/usecases/get_character.go:14.98,18.2 1 2
ddsheetfinal/internal/application/usecases/get_character.go:21.81,23.16 2 2
ddsheetfinal/internal/application/usecases/get_character.go:23.16,25.3 1 1
ddsheetfinal/internal/application/usecases/get_character.go:27.2,27.44 1 1
ddsheetfinal/internal/application/usecases/get_enriched_character.go:31.32,37.2 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:40.106,43.16 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:43.16,45.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:48.2,84.17 15 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:84.17,86.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:87.2,88.17 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:88.17,90.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:91.2,92.17 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:92.17,94.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:95.2,96.17 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:96.17,98.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:99.2,100.17 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:100.17,102.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:103.2,104.17 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:104.17,106.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:109.2,147.22 4 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:150.66,154.19 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:155.47,156.12 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:157.58,158.12 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:159.45,160.12 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:161.10,162.12 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:170.37,197.52 4 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:197.52,202.19 4 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:202.19,204.4 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:205.3,205.31 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:208.2,208.27 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:215.26,219.28 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:219.28,221.20 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:221.20,223.4 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:227.2,227.29 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:227.29,229.20 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:229.20,231.4 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:234.2,234.16 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:242.25,243.22 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:243.22,245.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:248.2,249.16 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:249.16,252.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:255.2,256.75 2 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:256.75,257.74 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:257.74,258.76 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:258.76,259.57 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:259.57,261.6 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:262.5,262.59 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:262.59,264.6 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:270.2,270.22 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:270.22,272.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:275.2,277.34 3 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:277.34,279.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:282.2,289.21 4 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:289.21,291.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:293.2,297.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:304.25,315.2 3 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:317.33,318.12 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:318.12,320.3 1 0
ddsheetfinal/internal/application/usecases/get_enriched_character.go:321.2,321.29 1 0
ddsheetfinal/internal/application/usecases/get_learnable_spells.go:17.30,22.2 1 3
ddsheetfinal/internal/application/usecases/get_learnable_spells.go:25.86,28.16 2 3
ddsheetfinal/internal/application/usecases/get_learnable_spells.go:28.16,30.3 1 1
ddsheetfinal/internal/application/usecases/get_learnable_spells.go:33.2,33.73 1 2
ddsheetfinal/internal/application/usecases/learn_spell.go:22.22,27.2 1 2
ddsheetfinal/internal/application/usecases/learn_spell.go:30.77,33.16 2 2
ddsheetfinal/internal/application/usecases/learn_spell.go:33.16,35.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:37.2,40.35 2 2
ddsheetfinal/internal/application/usecases/learn_spell.go:40.35,42.3 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:45.2,45.36 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:45.36,47.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:50.2,50.41 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:50.41,52.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:55.2,56.16 2 1
ddsheetfinal/internal/application/usecases/learn_spell.go:56.16,58.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:59.2,59.9 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:59.9,61.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:64.2,65.16 2 1
ddsheetfinal/internal/application/usecases/learn_spell.go:65.16,67.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:70.2,71.23 2 1
ddsheetfinal/internal/application/usecases/learn_spell.go:71.23,73.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:76.2,76.52 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:76.52,77.34 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:77.34,79.4 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:80.8,80.42 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:80.42,82.3 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:85.2,85.37 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:85.37,86.38 1 1
ddsheetfinal/internal/application/usecases/learn_spell.go:86.38,88.4 1 0
ddsheetfinal/internal/application/usecases/learn_spell.go:92.2,96.41 3 1
ddsheetfinal/internal/application/usecases/learn_spell.go:99.63,101.2 1 2
ddsheetfinal/internal/application/usecases/learn_spell.go:103.65,105.2 1 1
ddsheetfinal/internal/application/usecases/list_characters.go:13.102,17.2 1 2
ddsheetfinal/internal/application/usecases/list_characters.go:20.76,22.16 2 2
ddsheetfinal/internal/application/usecases/list_characters.go:22.16,24.3 1 0
ddsheetfinal/internal/application/usecases/list_characters.go:25.2,25.44 1 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:26.134,31.2 1 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:34.71,37.16 2 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:37.16,39.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:42.2,43.45 2 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:43.45,45.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:48.2,48.48 1 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:48.48,50.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:53.2,54.16 2 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:54.16,56.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:57.2,57.14 1 2
ddsheetfinal/internal/application/usecases/prepare_spell.go:57.14,59.3 1 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:62.2,63.16 2 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:63.16,65.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:68.2,69.23 2 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:69.23,71.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:74.2,74.52 1 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:74.52,75.34 1 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:75.34,77.4 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:78.8,78.42 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:78.42,80.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:82.2,82.18 1 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:82.18,85.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:88.2,88.52 1 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:91.100,93.45 1 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:93.45,94.38 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:94.38,96.4 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:100.2,103.41 3 1
ddsheetfinal/internal/application/usecases/prepare_spell.go:106.102,110.45 3 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:110.45,111.39 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:111.39,113.4 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:113.9,115.4 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:118.2,118.12 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:118.12,120.3 1 0
ddsheetfinal/internal/application/usecases/prepare_spell.go:122.2,123.41 2 0
ddsheetfinal/internal/application/usecases/save_character.go:15.100,19.2 1 2
ddsheetfinal/internal/application/usecases/save_character.go:22.80,23.25 1 2
ddsheetfinal/internal/application/usecases/save_character.go:23.25,25.3 1 0
ddsheetfinal/internal/application/usecases/save_character.go:27.2,27.29 1 2
ddsheetfinal/internal/application/usecases/save_character.go:27.29,29.3 1 0
ddsheetfinal/internal/application/usecases/save_character.go:32.2,35.41 2 2
ddsheetfinal/internal/application/usecases/unequip_item.go:23.96,27.2 1 1
ddsheetfinal/internal/application/usecases/unequip_item.go:30.69,33.16 2 1
ddsheetfinal/internal/application/usecases/unequip_item.go:33.16,35.3 1 0
ddsheetfinal/internal/application/usecases/unequip_item.go:37.2,40.51 2 1
ddsheetfinal/internal/application/usecases/unequip_item.go:40.51,44.3 3 1
ddsheetfinal/internal/application/usecases/unequip_item.go:47.2,47.49 1 1
ddsheetfinal/internal/application/usecases/unequip_item.go:47.49,51.3 3 0
ddsheetfinal/internal/application/usecases/unequip_item.go:54.2,54.51 1 1
ddsheetfinal/internal/application/usecases/unequip_item.go:54.51,58.3 3 0
ddsheetfinal/internal/application/usecases/unequip_item.go:60.2,60.14 1 1
